fold_id,model_type,seed,architecture,best_epoch,parameter_count,training_seconds,holdout_loss,holdout_accuracy,holdout_f1,holdout_threshold,holdout_auroc,holdout_auprc,prediction_mean_absolute_difference,prediction_median_absolute_difference,prediction_std_absolute_difference,prediction_p95_absolute_difference,prediction_pearson,prediction_spearman,symmetry_flip_rate,checkpoint_reload_max_abs_probability_error,rcps_prediction_max_abs_probability_error,rcps_feature_equivariance_max_abs_error,double_rc_input_exact,reload_gate_passed,rcps_prediction_gate_passed,rcps_feature_gate_passed,original_validation_rows_evaluated,test_rows_evaluated
fold_b,CNN-Raw,123,standard,17,7377,48.28567330003716,0.45368422061171687,0.7920847268673356,0.7932754479955663,0.5,0.8699192195629595,0.8623763342743693,0.10611492791370998,0.07289663702249527,0.10275817915800584,0.31865725852549065,0.8958134814744918,0.8995531686339276,0.12430323299888517,0.0,,,True,True,True,True,0,0
fold_b,CNN-Aug,2026,standard,29,7377,114.32085890002782,0.4366546778907478,0.8058342623560015,0.8055813953488372,0.5,0.8804306743330542,0.8752268940560957,0.09291959318833509,0.06121650151908398,0.09479965787669947,0.2930186171084642,0.9230937242260523,0.9232592320806337,0.10405053883314754,0.0,,,True,True,True,True,0,0
fold_b,CNN-RCPS,2026,rcps,29,3689,94.46391900000162,0.4328857839705553,0.8039762170196952,0.8007554296506137,0.5,0.8824355128460601,0.8758689523032679,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,True,True,True,True,0,0
fold_b,CNN-Raw,2026,standard,24,7377,102.50082949997159,0.4537659122437981,0.794314381270903,0.7888613389280946,0.5,0.8718260118337671,0.8641762007485935,0.11727861969152743,0.07566604763269424,0.11972343812181657,0.369537395238876,0.878952664770574,0.8810079485501053,0.12430323299888517,0.0,,,True,True,True,True,0,0
fold_c,CNN-Aug,42,standard,20,7377,45.03192239999771,0.4664593036138122,0.7956505436820397,0.7988187523071244,0.5,0.8622295385180339,0.8570289831938287,0.07947311052507963,0.054606735706329346,0.07722609902315068,0.23792257457971552,0.9415214643120847,0.9416625749923583,0.09205099362579677,0.0,,,True,True,True,True,0,0
fold_c,CNN-RCPS,42,rcps,22,3689,63.16080010001315,0.44092032593826164,0.8053993250843644,0.8058361391694725,0.5,0.8778794382985591,0.8715203171467927,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,True,True,0,0
fold_c,CNN-Raw,42,standard,19,7377,42.933600899996236,0.48814084353766996,0.7799025121859767,0.7800674409891345,0.5,0.8501608839952374,0.839702537764301,0.10236607173643779,0.07117810007184744,0.09813309592239465,0.30633428469300267,0.9048335705641521,0.907061199156794,0.12242219722534683,0.0,,,True,True,True,True,0,0
fold_c,CNN-Aug,123,standard,25,7377,54.17542200000025,0.47032137206756625,0.7862767154105736,0.7917427840701498,0.5,0.8607986853161914,0.8514358498565296,0.08777718361558177,0.06059806048870087,0.08459739464025506,0.25906172096729263,0.9290147216494056,0.9296328689305521,0.09655043119610049,0.0,,,True,True,True,True,0,0
fold_c,CNN-RCPS,123,rcps,28,3689,70.54397980001522,0.4664198049767705,0.7930258717660292,0.7927927927927928,0.5,0.8631974293427045,0.8555819439022124,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,True,True,0,0
fold_c,CNN-Raw,123,standard,17,7377,38.980408899951726,0.48706872766278053,0.7800899887514061,0.7834594794166513,0.5,0.8497294137445418,0.8412767308914961,0.09927227276642424,0.06965430825948715,0.09482770249883127,0.2924779713153833,0.9092437923514456,0.9106045058921671,0.11304836895388076,0.0,,,True,True,True,True,0,0
