fold_id,seed,model_type,method,n,mean_absolute_normalized_l1,median_absolute_normalized_l1,mean_absolute_normalized_l2,mean_absolute_pearson,mean_absolute_top8_overlap
fold_a,2026,CNN-Raw,gradient_shap,80,0.4765776513401126,0.4682032575965624,0.38794073611400137,0.5995728642853178,0.4875
fold_a,2026,CNN-Raw,integrated_gradients,80,0.4637779722479557,0.44784239235427453,0.3570462953015946,0.6478629988852622,0.521875
fold_b,42,CNN-Aug,deeplift,80,0.4371253974198604,0.42821515346077776,0.385552772884955,0.5936158529823488,0.48125
fold_b,42,CNN-Aug,exact_ism,80,0.31128485130164973,0.31629144141966775,0.2781678418405746,0.7731611746230461,0.6203125
fold_b,42,CNN-Aug,gradient_shap,80,0.39336769827677054,0.3849628305604886,0.375649227560379,0.6109755158630412,0.4578125
fold_b,42,CNN-Aug,integrated_gradients,80,0.41959202549029595,0.4087601849443815,0.3662968260646004,0.6280574516362344,0.5078125
fold_b,42,CNN-RCPS,deeplift,80,7.590268385176499e-05,0.0,0.00017140607916084127,0.9999945867847568,1.0
fold_b,42,CNN-RCPS,exact_ism,80,3.5819309247928154e-09,1.461147296788152e-09,1.3004495877957027e-08,0.9999999999999993,1.0
fold_b,42,CNN-RCPS,gradient_shap,80,0.10117863754987329,0.08438491216626656,0.13564713197223208,0.9644013202536621,0.821875
fold_b,42,CNN-RCPS,integrated_gradients,80,0.0,0.0,0.0,1.0,1.0
fold_b,42,CNN-Raw,deeplift,80,0.5124284316676642,0.5065876155753257,0.42951954843305257,0.5076697469916421,0.4203125
fold_b,42,CNN-Raw,exact_ism,80,0.35587261699678746,0.3539293030172943,0.31202909138808144,0.7193025224738697,0.5890625
fold_b,42,CNN-Raw,gradient_shap,80,0.4675644359332689,0.46253527407584144,0.4130580151468381,0.534570306811608,0.45625
fold_b,42,CNN-Raw,integrated_gradients,80,0.4881796147113767,0.48781633859901685,0.40775128511957986,0.5467997621896987,0.45625
fold_b,123,CNN-Aug,deeplift,80,0.4597166970280915,0.43754263330470067,0.4042533724452399,0.5569606274503001,0.478125
fold_b,123,CNN-Aug,exact_ism,80,0.3139617797144571,0.31363357645262674,0.28686048053044877,0.7781935485050112,0.63125
fold_b,123,CNN-Aug,gradient_shap,80,0.4067043166846582,0.39706411937853403,0.39013032099360767,0.5748073760095955,0.45625
fold_b,123,CNN-Aug,integrated_gradients,80,0.44440357437144085,0.42037466534852785,0.39053865898878126,0.5843863093740905,0.4875
fold_b,123,CNN-RCPS,deeplift,80,4.462822031080625e-05,0.0,0.0001648018977266275,0.9999935368582937,1.0
fold_b,123,CNN-RCPS,exact_ism,80,3.283807486222215e-09,2.10554134822347e-10,1.5406569101847233e-08,0.9999999999999979,1.0
fold_b,123,CNN-RCPS,gradient_shap,80,0.09434984299253213,0.08831061963898955,0.10079312335135304,0.9845908686610418,0.88125
fold_b,123,CNN-RCPS,integrated_gradients,80,0.0,0.0,0.0,1.0,1.0
fold_b,123,CNN-Raw,deeplift,80,0.45774110322548855,0.45415364415894516,0.37433331256799895,0.5987033401695022,0.5671875
fold_b,123,CNN-Raw,exact_ism,80,0.333496024853149,0.3337209151797068,0.29807203864797166,0.7113284912801545,0.60625
fold_b,123,CNN-Raw,gradient_shap,80,0.41038336594610314,0.4028136198644599,0.36325979684128173,0.6162211103504721,0.5453125
fold_b,123,CNN-Raw,integrated_gradients,80,0.44664206087490366,0.4446816461530005,0.3671300606344598,0.6108079451625958,0.5640625
fold_b,2026,CNN-Aug,deeplift,80,0.47676098712344867,0.4697521828116976,0.3771246538887435,0.5775608267393916,0.484375
fold_b,2026,CNN-Aug,exact_ism,80,0.316156057194113,0.31983466419079526,0.25669343394549227,0.8004235036125212,0.7
fold_b,2026,CNN-Aug,gradient_shap,80,0.4406346520044463,0.434785375036501,0.3752421231192235,0.582348333327254,0.4703125
fold_b,2026,CNN-Aug,integrated_gradients,80,0.4580081894310113,0.43847018502561436,0.36458956705158874,0.6020568874139214,0.509375
fold_b,2026,CNN-RCPS,deeplift,80,0.00031877216767379373,0.0,0.0009117399365140999,0.9999514086881586,1.0
fold_b,2026,CNN-RCPS,exact_ism,80,3.6657268003137605e-09,2.435935984174899e-09,1.4677871711229637e-08,0.9999999999999989,1.0
fold_b,2026,CNN-RCPS,gradient_shap,80,0.08234400785618226,0.0704814729683461,0.08904374580111693,0.9865326491950015,0.9078125
fold_b,2026,CNN-RCPS,integrated_gradients,80,0.0,0.0,0.0,1.0,1.0
fold_b,2026,CNN-Raw,deeplift,80,0.5371117907539766,0.5264948604024853,0.4280983657565039,0.4750660481748607,0.4171875
fold_b,2026,CNN-Raw,exact_ism,80,0.37566712000551605,0.375869671642469,0.3101646987786464,0.7091058868236809,0.63125
fold_b,2026,CNN-Raw,gradient_shap,80,0.4758442633264993,0.46894276505520377,0.40632139704918124,0.5089908032140638,0.4484375
fold_b,2026,CNN-Raw,integrated_gradients,80,0.5155842230084732,0.5044144379425666,0.4140718823255276,0.5053130446424653,0.446875
fold_c,42,CNN-Aug,deeplift,80,0.3961751143082933,0.393286278010812,0.31352479409564504,0.7336263227738918,0.6375
fold_c,42,CNN-Aug,exact_ism,80,0.2804944082728761,0.2825380332217695,0.23330864926616232,0.8373199559743899,0.721875
fold_c,42,CNN-Aug,gradient_shap,80,0.3590480644264548,0.35621177813004645,0.3041944032953453,0.7473673583042875,0.671875
fold_c,42,CNN-Aug,integrated_gradients,80,0.381267008509683,0.37565619737678646,0.30182637797199974,0.7540749952460796,0.659375
fold_c,42,CNN-RCPS,deeplift,80,0.00039253252472089376,0.0,0.0009205804310894712,0.99996942405269,1.0
fold_c,42,CNN-RCPS,exact_ism,80,5.386957035488615e-09,2.592197874198949e-09,1.8567926648989273e-08,0.9999999999999982,1.0
fold_c,42,CNN-RCPS,gradient_shap,80,0.11659744227134143,0.0995270817484527,0.154756662100259,0.9628817144268073,0.7984375
fold_c,42,CNN-RCPS,integrated_gradients,80,0.0,0.0,0.0,1.0,1.0
fold_c,42,CNN-Raw,deeplift,80,0.4404986210638729,0.4340891855719995,0.35232647325162597,0.6647723661513264,0.5703125
fold_c,42,CNN-Raw,exact_ism,80,0.33121542994224795,0.33112220043730056,0.29858615657654203,0.7409637937689467,0.5984375
fold_c,42,CNN-Raw,gradient_shap,80,0.39088316050113353,0.3813712343201351,0.3315077637378992,0.6941589505870573,0.5890625
fold_c,42,CNN-Raw,integrated_gradients,80,0.42299081112800235,0.42228311891461134,0.33973774563465703,0.6869418225985783,0.5796875
fold_c,123,CNN-Aug,deeplift,80,0.42061454398975356,0.42892507276750647,0.34591634809137384,0.6718050459388094,0.53125
fold_c,123,CNN-Aug,exact_ism,80,0.30155252438102015,0.30601158114053656,0.25990159027449017,0.7903109174077079,0.684375
fold_c,123,CNN-Aug,gradient_shap,80,0.3774269277307608,0.37842552431923454,0.3309718007746997,0.6876617457326334,0.55
fold_c,123,CNN-Aug,integrated_gradients,80,0.40615310400663385,0.40982060779451923,0.3326380078009133,0.692557924805836,0.5640625
fold_c,123,CNN-RCPS,deeplift,80,0.0,0.0,0.0,1.0,1.0
fold_c,123,CNN-RCPS,exact_ism,80,4.610551598517267e-09,1.0482789045666961e-09,2.0943757639499434e-08,0.9999999999999964,1.0
fold_c,123,CNN-RCPS,gradient_shap,80,0.08153201445667267,0.0762043927650436,0.08302906499022404,0.9896805764539233,0.9234375
fold_c,123,CNN-RCPS,integrated_gradients,80,0.0,0.0,0.0,1.0,1.0
fold_c,123,CNN-Raw,deeplift,80,0.4244164930301869,0.4139309041171832,0.33802452372182223,0.6873460735602489,0.5875
fold_c,123,CNN-Raw,exact_ism,80,0.32123433303411075,0.32089285703103076,0.28217904234998487,0.7549865333239912,0.61875
fold_c,123,CNN-Raw,gradient_shap,80,0.38061972942563893,0.3695335049960162,0.3235077273794067,0.7034201454717413,0.603125
fold_c,123,CNN-Raw,integrated_gradients,80,0.4098888804115667,0.40148030935241963,0.3281318560729599,0.7019815928584917,0.6046875
fold_c,2026,CNN-Aug,deeplift,80,0.39660289920259906,0.3864765952977106,0.3215714581135085,0.7031664533533201,0.55625
fold_c,2026,CNN-Aug,exact_ism,80,0.2624690358595469,0.2634993286896028,0.2064477853602742,0.8726764006614939,0.75
fold_c,2026,CNN-Aug,gradient_shap,80,0.3609153724208644,0.36274604929986287,0.32577350190527443,0.7164328836762304,0.525
fold_c,2026,CNN-Aug,integrated_gradients,80,0.3706207835670268,0.36312042619281115,0.30473822082131513,0.7298272687731109,0.584375
fold_c,2026,CNN-RCPS,deeplift,80,7.49999501036875e-06,0.0,2.4346878960631252e-05,0.9999998648871171,1.0
fold_c,2026,CNN-RCPS,exact_ism,80,3.0180057041949417e-09,7.387669905805843e-10,1.2361383872894637e-08,0.9999999999999989,1.0
fold_c,2026,CNN-RCPS,gradient_shap,80,0.09069066238711225,0.08029135771135881,0.09924398564984956,0.9880462746189878,0.9109375
fold_c,2026,CNN-RCPS,integrated_gradients,80,0.0,0.0,0.0,1.0,1.0
fold_c,2026,CNN-Raw,deeplift,80,0.4687155645024883,0.4664392280601642,0.37709192669412916,0.6104650080035641,0.490625
fold_c,2026,CNN-Raw,exact_ism,80,0.3251846470708132,0.32625487210360127,0.27099412905400216,0.7913796791342678,0.665625
fold_c,2026,CNN-Raw,gradient_shap,80,0.4188158282182469,0.41415410842709477,0.3660972720334949,0.62743530943391,0.48125
fold_c,2026,CNN-Raw,integrated_gradients,80,0.4451991747038112,0.4416516024464787,0.36126167491798683,0.6430367683418293,0.521875
