model_type,metric,n,mean,std,median,q25,q75,p95
CNN-Aug,motif_top8_overlap_absolute,600,0.995,0.07059253153968889,1.0,1.0,1.0,1.0
CNN-Aug,motif_mass_fraction_absolute,600,0.9494152268665247,0.05210874604767301,0.9538177502590381,0.9477210880857916,0.9598956337214768,0.9665038189856343
CNN-Aug,motif_vs_background_absolute,600,12.163859144688047,1.1247480059780859,12.314524277516085,11.896738768420619,12.739045594763924,13.175685529418365
CNN-Aug,position_auprc_signed,600,0.9966547391708237,0.04723880375351238,1.0,1.0,1.0,1.0
CNN-Aug,position_auprc_absolute,600,0.9966015517518758,0.04802121525243682,1.0,1.0,1.0,1.0
CNN-Pair,motif_start,600,46.95,27.456947632408355,45.0,23.75,74.25,88.0
CNN-Pair,motif_end,600,54.95,27.456947632408355,53.0,31.75,82.25,96.0
CNN-Pair,prediction_difference,600,0.0002799966931342741,0.00033564167366697834,0.00018438696861265,7.891654968261719e-05,0.0003622174263,0.0008726149797439147
CNN-Pair,prediction_consistency,600,0.9997200033068657,0.00033564167366698566,0.9998156130313873,0.9996377825737,0.9999210834503175,0.9999855875968933
CNN-Pair,attribution_pearson_signed,600,0.9981878792914423,0.0022891673382186956,0.998760431496355,0.9977506086211576,0.9992206210079077,0.999528886280069
CNN-Pair,attribution_pearson_absolute,600,0.9982707201705435,0.0021897101944802207,0.998793378657501,0.9978390918831048,0.9992785803670391,0.9995858389578078
CNN-Pair,attribution_spearman_signed,600,0.615054778275927,0.09163566632098026,0.6234762338451503,0.55576580243089,0.6810584245299768,0.7524132227933837
CNN-Pair,attribution_spearman_absolute,600,0.7227190188523455,0.10032400369738942,0.7318022111659526,0.6568187323843095,0.8002279037198444,0.8640094646298045
CNN-Pair,attribution_cosine_signed,600,0.9983252651806889,0.0020516879781477017,0.9988527969003014,0.9979200871619545,0.999267395556056,0.9995604240925046
CNN-Pair,attribution_cosine_absolute,600,0.9984273920175356,0.0018188828214368122,0.9988937316398171,0.9980238843305168,0.9993377785094707,0.9996214587914815
CNN-Pair,attribution_top8_overlap,600,0.9989583333333333,0.021032368659789392,1.0,1.0,1.0,1.0
CNN-Pair,attribution_full_matrix_pearson,600,0.9966682441070217,0.003013968312605291,0.9976184977132945,0.9958761977244218,0.9982236601891292,0.9986866619588006
CNN-Pair,attribution_std_absolute,600,3.6592443030079207,0.32585098170854243,3.6913734674453735,3.5206833481788635,3.8558458089828496,3.9902049183845523
CNN-Pair,motif_top8_overlap_signed,600,0.9958333333333333,0.06114630274558426,1.0,1.0,1.0,1.0
CNN-Pair,motif_mass_fraction_signed,600,0.9584737971957809,0.05120079182863704,0.9625297644497051,0.9560402201054595,0.9684445534175739,0.9761180612189815
CNN-Pair,motif_vs_background_signed,600,13.414318222050465,1.2475350187117487,13.566015205092338,12.89680634740319,14.14714518168757,14.624273342207525
CNN-Pair,motif_top8_overlap_absolute,600,0.9958333333333333,0.06114630274558426,1.0,1.0,1.0,1.0
CNN-Pair,motif_mass_fraction_absolute,600,0.9514422543309022,0.05151934824986323,0.9558819988578546,0.9488120628439319,0.9618734122922684,0.9695054305482834
