model_type,metric,n,mean,std,median,q25,q75,p95
CNN-Pair,prediction_difference,3,0.0002799966931342741,5.4525594852860584e-05,0.00028522759675976247,0.00025413587689396516,0.0003084729611873272,0.000327069252729379
CNN-Pair,prediction_consistency,3,0.9997200033068657,5.452559485286034e-05,0.9997147724032402,0.9996915270388127,0.9997458641231061,0.9997707374989986
CNN-Pair,attribution_pearson_signed,3,0.9981878792914424,0.0010522675273079215,0.998689442515092,0.9978340538887029,0.9987924863060065,0.998874921338738
CNN-Pair,attribution_pearson_absolute,3,0.9982707201705434,0.0010506789582549981,0.9987620268296021,0.9979132111197941,0.9988738825508221,0.9989633671277982
CNN-Pair,attribution_spearman_signed,3,0.6150547782759269,0.016639331479940157,0.6112988663733616,0.6059566459869629,0.6222749546136084,0.6310558252058058
CNN-Pair,attribution_spearman_absolute,3,0.7227190188523456,0.039739188333448916,0.7005866796679492,0.6997803116810523,0.7345915564314407,0.7617954578422339
CNN-Pair,attribution_cosine_signed,3,0.998325265180689,0.0009655823159321885,0.9987882891082731,0.998001829905641,0.9988802124195291,0.9989537510685338
CNN-Pair,attribution_cosine_absolute,3,0.9984273920175353,0.000947907343518296,0.9988708292875482,0.9981049353785563,0.9989715672915209,0.999052157694699
CNN-Pair,attribution_top8_overlap,3,0.9989583333333334,0.0013010412496663052,0.999375,0.9984375000000001,0.9996875000000001,0.9999375
CNN-Pair,attribution_full_matrix_pearson,3,0.9966682441070217,0.0017624880729540365,0.9973566334887564,0.9960110414084964,0.9976696414964144,0.9979200479025407
CNN-Pair,attribution_std_absolute,3,3.6592443030079203,0.036240852873255694,3.652968521416187,3.6397598591446876,3.675590856075287,3.6936887238025666
CNN-Pair,motif_top8_overlap_signed,3,0.9958333333333335,0.0014433756729740977,0.995,0.995,0.9962500000000001,0.9972500000000001
CNN-Pair,motif_mass_fraction_signed,3,0.9584737971957807,0.0027068982350910284,0.9573937543246431,0.956933704925249,0.9594738680307439,0.9611379589956245
CNN-Pair,motif_vs_background_signed,3,13.414318222050463,0.11880525909016587,13.398524867120354,13.351362220589863,13.46937754604601,13.526059689186534
CNN-Pair,motif_top8_overlap_absolute,3,0.9958333333333335,0.0014433756729740977,0.995,0.995,0.9962500000000001,0.9972500000000001
CNN-Pair,motif_mass_fraction_absolute,3,0.9514422543309022,0.0031660151095972977,0.9503152767905241,0.9496545971917105,0.9526664226999049,0.9545473394274095
CNN-Pair,motif_vs_background_absolute,3,13.358424171182653,0.11585287168673997,13.339856979847111,13.296416589922371,13.411148156775162,13.468181098317602
CNN-Pair,position_auprc_signed,3,0.9970538689932072,0.0006184339212570452,0.9967081090886238,0.9966968749183822,0.9972379831157405,0.9976618823374338
CNN-Pair,position_auprc_absolute,3,0.9969884595180648,0.0006805465707274496,0.9966856407481407,0.9965987607056686,0.9972267489454989,0.9976596355033854
CNN-Raw,motif_start,3,46.95000000000001,8.702335715267317e-15,46.95,46.95,46.95,46.95
CNN-Raw,motif_end,3,54.95000000000001,8.702335715267317e-15,54.95,54.95,54.95,54.95
CNN-Raw,prediction_difference,3,0.0007685424884159931,0.0001739923116221261,0.0007825136184691974,0.0006852497160434314,0.0008588208258151569,0.0009198665916919245
CNN-Raw,prediction_consistency,3,0.999231457511584,0.0001739923116221306,0.9992174863815307,0.9991411791741848,0.9993147502839566,0.999392561405897
CNN-Raw,attribution_pearson_signed,3,0.9977835943885215,0.00045623556789619967,0.9979233970580013,0.9975986062555297,0.9980384838562533,0.9981305532948548
CNN-Raw,attribution_pearson_absolute,3,0.9979804787927492,0.00043755209983845295,0.9981394899193409,0.9978125729384775,0.9982278902103168,0.9982986104430975
CNN-Raw,attribution_spearman_signed,3,0.5110702514287923,0.0707540014980559,0.528720803014264,0.48094134821328544,0.550024430437035,0.5670673323752518
CNN-Raw,attribution_spearman_absolute,3,0.6484438891719082,0.07095110434441354,0.6804007012321956,0.6237676255980139,0.6890985587759462,0.6960568448109467
CNN-Raw,attribution_cosine_signed,3,0.9979462534038431,0.0004241054707947251,0.998074080231314,0.9977735086958452,0.9981829115255767,0.9982699765609867
CNN-Raw,attribution_cosine_absolute,3,0.9981661448639865,0.000406435887765484,0.9983274308148438,0.9980156259324982,0.9983973067709034,0.9984532075357512
CNN-Raw,attribution_top8_overlap,3,1.0,0.0,1.0,1.0,1.0,1.0
CNN-Raw,attribution_full_matrix_pearson,3,0.9962255739627738,0.0007146903474243906,0.9960752138728072,0.9958366201063398,0.9965393477742244,0.9969106548953582
CNN-Raw,attribution_std_absolute,3,3.3392863879601165,0.06755855540784195,3.316061940789223,3.3012326902151106,3.365727862119675,3.405460599184036
CNN-Raw,motif_top8_overlap_signed,3,0.995,0.0,0.995,0.995,0.995,0.995
CNN-Raw,motif_mass_fraction_signed,3,0.9516339195965159,0.004884049439178638,0.9530360872011855,0.9496191188464669,0.9543498041488996,0.9554007777070708
CNN-Raw,motif_vs_background_signed,3,12.181317705402568,0.2299870227834326,12.10901617255717,12.052592653292097,12.273891991090341,12.405792645916877
CNN-Raw,motif_top8_overlap_absolute,3,0.995,0.0,0.995,0.995,0.995,0.995
CNN-Raw,motif_mass_fraction_absolute,3,0.9433082042398934,0.005523635369762888,0.9445407372878962,0.9409065776226667,0.9463260973811214,0.9477543854557016
CNN-Raw,motif_vs_background_absolute,3,12.122522007831472,0.23209216507274272,12.054263901336066,11.993238503020553,12.21767645939469,12.34840650584159
CNN-Raw,position_auprc_signed,3,0.9966732836199746,2.140317381904971e-05,0.9966856407481407,0.9966671050558917,0.9966856407481407,0.9966856407481407
CNN-Raw,position_auprc_absolute,3,0.9966372955747955,8.373629653450663e-05,0.9966856407481407,0.996613122988123,0.9966856407481407,0.9966856407481407
